barcode,name,initial_price,price
4605319005089,"DETISKI KREM RASSIYA",17000,22000
6971354474677,"EMILI TANALKA 50SPF",23000,28000
6973926566803,"ZUMBA FEN",350000,450000
5029053549507,"XAYGIS ELIF SOFT",67000,70000
6903148264867,"PANTEN 750G",55000,75000
4987176143631,"XELIR SHOLDERS KAREYA",72000,95000
080878196135,"PANTEN AMERIKA 980",275000,315000
8680678829572,"OSION SHANPUN 800G",55000,65000
8801046886120,"XANARO KAREYA SHANPUN",58000,63000
8801046886113,"XANARO KAREYA SHANPUN",58000,63000
8801046848883,"KERASUS KILINIK 600G",55000,62000
6976504687532,"ATIRGUL LASIYON",25000,35000
6932511218732,"PACHI KOZ ATROFI",38000,45000
6973098892663,"PACHI KOZ ATROFI",38000,45000
5060328890740,"KALAGEN KREM",14000,20000
6916790260941,"JENJEN SHANPUN",35000,55000
8806374002068,"AIOY KAREYA",93000,110000
8801046240540,"PARFUM SHANPUN",58000,63000
